INSERT INTO bill (bill_id,store_id,registered_phone,bill_date)
VALUES (1,26,NULL,'2022-01-02'),
(5,66,NULL,'2022-01-21'),
(9,71,NULL,'2022-01-27'),
(15,51,NULL,'2022-02-05'),
(16,3,NULL,'2022-02-06'),
(17,77,NULL,'2022-02-07'),
(18,51,NULL,'2022-02-07'),
(19,41,NULL,'2022-02-07'),
(22,74,NULL,'2022-02-11'),
(27,95,NULL,'2022-02-24'),
(30,40,NULL,'2022-02-27'),
(36,65,NULL,'2022-03-11'),
(37,75,NULL,'2022-03-13'),
(39,42,NULL,'2022-03-20'),
(40,55,NULL,'2022-03-22'),
(41,35,NULL,'2022-03-22'),
(45,96,NULL,'2022-03-30'),
(47,23,NULL,'2022-04-01'),
(50,49,NULL,'2022-04-05'),
(51,14,NULL,'2022-04-06'),
(55,17,NULL,'2022-04-11'),
(57,16,NULL,'2022-04-12'),
(61,18,NULL,'2022-04-14'),
(62,52,NULL,'2022-04-16'),
(66,77,NULL,'2022-04-28'),
(69,76,NULL,'2022-05-07'),
(71,81,NULL,'2022-05-09'),
(74,94,NULL,'2022-05-14'),
(76,22,NULL,'2022-05-15'),
(79,49,NULL,'2022-05-20'),
(80,49,NULL,'2022-05-21'),
(81,61,NULL,'2022-05-22'),
(84,87,NULL,'2022-05-28'),
(90,47,NULL,'2022-06-06'),
(95,35,NULL,'2022-06-11'),
(98,24,NULL,'2022-06-17'),
(100,1,NULL,'2022-06-23'),
(101,89,NULL,'2022-06-26'),
(103,97,NULL,'2022-06-28'),
(105,76,NULL,'2022-07-01'),
(113,69,NULL,'2022-07-09'),
(114,4,NULL,'2022-07-09'),
(116,16,NULL,'2022-07-16'),
(117,70,NULL,'2022-07-21'),
(119,81,NULL,'2022-07-29'),
(122,96,NULL,'2022-08-06'),
(124,20,NULL,'2022-08-08'),
(125,2,NULL,'2022-08-08'),
(127,1,NULL,'2022-08-14'),
(128,79,NULL,'2022-08-22'),
(130,12,NULL,'2022-08-28'),
(132,98,NULL,'2022-09-01'),
(134,30,NULL,'2022-09-06'),
(137,39,NULL,'2022-09-10'),
(144,88,NULL,'2022-10-02'),
(152,67,NULL,'2022-10-17'),
(153,77,NULL,'2022-10-17'),
(161,21,NULL,'2022-11-03'),
(163,9,NULL,'2022-11-05'),
(165,43,NULL,'2022-11-10'),
(170,39,NULL,'2022-11-13'),
(171,31,NULL,'2022-11-13'),
(172,15,NULL,'2022-11-15'),
(177,86,NULL,'2022-11-17')
